,name,artist,spotify_id,release_date,genres
148,Girl on Fire,Alicia Keys,4esOae7i4rqTbAu9o5Pxco,2012-11-18,"['r&b', 'neo soul']"
149,Heart Attack,Demi Lovato,1V6gIisPpYqgFeWbMLI0bA,2013-01-01,[]
150,Love Somebody,Maroon 5,5H0ajL4EHsrcAEGESo2Lzx,2012-01-01,['pop']
151,I Will Wait,Mumford & Sons,5PRRthP9SLfbXB359MfIWv,2012-09-21,"['folk', 'indie folk', 'folk rock']"
152,Try,Pink,1jF7IL57ayN4Ity3jQqGu0,2012-09-18,[]
153,Wagon Wheel,Darius Rucker,3xdjjKMcMOFgo1eQrfbogM,2013-01-01,['country']
154,Gangnam Style,Psy,03UrZgTINDqvnUMbbIMhql,2012-01-01,['k-pop']
155,I Need Your Love,Calvin Harris,05SBRd4fXgn8FX7bf8BCAE,2012-10-29,['edm']
156,Die Young,Kesha,7EQGXaVSyEDsCWKmUcfpLk,2012-11-30,[]
157,Some Nights,Fun,67WTwafOMgegV6ABnBQxcE,2012-02-14,[]
158,Bad,Wale,5yhKaacMZGRo4s6evJx9vk,2013-06-25,[]
159,Boys 'Round Here,Blake Shelton,39FwE8edwuyiaa4PrGBkP7,2013-03-26,['country']
160,"Gone, Gone, Gone",Phillip Phillips,56sxN1yKg1dgOZXBcAHkJG,2012-01-01,['folk pop']
161,Demons,Imagine Dragons,5qaEfEh1AtSdrdrByCP7qR,2012-09-04,[]
162,Counting Stars,OneRepublic,2tpWsVSb9UEmDRxAl1zhX1,2013-01-01,['soft pop']
163,I Cry,Flo Rida,4bZd0nRuX8HyjeXAUBczvm,2012-06-22,[]
164,Little Talks,Of Monsters and Men,2ihCaVdNZmnHZWt0fvAM7B,2012-01-01,['folk pop']
165,The Other Side,Jason Derulo,6OPZtIV3uoZQT1YkoiEQH9,2013-09-10,[]
166,Berzerk,Eminem,6Xk7PnitV9jCRorWt2LiVZ,2013-11-05,"['rap', 'hip hop']"
167,Catch My Breath,Kelly Clarkson,7kAYyzVhWr3nSqAC7CUOWK,2012-10-15,['christmas']
168,Crash My Party,Luke Bryan,6GBUsjHfZuweYf5lQEz6mP,2013-01-01,"['country', 'acoustic country']"
169,Pour It Up,Rihanna,5r67bGhYXZNqk2m2Wupfmu,2012-12-11,[]
170,22,Taylor Swift,3yII7UwgLF6K5zW3xad3MP,2021-11-12,[]
171,I Want Crazy,Hunter Hayes,5H4BGxYudsHLks8MRrIVGh,2011,['country']
172,The Fox (What Does the Fox Say?),Ylvis,5HOpkTTVcmZHnthgyxrIL8,2013-09-02,[]
173,Best Song Ever,One Direction,5T7ZFtCcOgkpjxcuaeZbw0,2013-11-25,[]
174,The A Team,Ed Sheeran,1VdZ0vKfR5jneCmWIUAMxK,2011-09-09,['soft pop']
175,Carry On,Fun,5xZjfKSfTooDP2rcAgjxlH,2012-02-14,[]
176,Highway Don't Care,Tim McGraw,60hGQrn24APqEFSLObLeDc,2013-01-01,['country']
177,That's My Kind of Night,Luke Bryan,5HGibWoxnkYSkl6mHmAlOE,2013-01-01,"['country', 'acoustic country']"
178,Swimming Pools (Drank),Kendrick Lamar,6REbwUNlppTfcnV4d4ZoZi,2012-01-01,"['hip hop', 'west coast hip hop']"
179,Sure Be Cool If You Did,Blake Shelton,5yIiXdLRE85OBiQmCaUenq,2013-03-26,['country']
180,#Beautiful,Mariah Carey,1ahAuX3F6tDdNRfMdiLsv6,2014-05-23,['christmas']
181,Troublemaker,Olly Murs,6s8nHXTJVqFjXE4yVZPDHR,2012-11-26,[]
182,Body Party,Ciara,0rFZaQ4crlGAzuCjWCQ2xu,2013-07-05,[]
183,Adorn,Miguel,5hJFhO9dvhJoDvUZZ9iWSw,2012,['r&b']
184,Hall of Fame,The Script,7wMq5n8mYSKlQIGECKUgTX,2012-09-10,[]
185,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,4kte3OcW800TPvOVgrLLj8,2012-01-01,[]
186,U.O.E.N.O.,Rocko,0HFrCOmhCYXlv4NdEwRAuj,2013-03-05,['southern hip hop']
187,Next to Me,Emeli Sandé,3vjQt1znaFEnX3PBXsgtVc,2012-01-01,[]
188,Mama's Broken Heart,Miranda Lambert,2mXsZsJBThTaJXbNcg5QD4,2011-11-01,['country']
189,It Goes Like This,Thomas Rhett,2rGgjcjiq1JKRISnDuqlTA,2013-01-01,"['country', 'acoustic country', 'pop country']"
190,Bugatti,Ace Hood,08ljt6NCNAgewQaMya1URa,2013-01-01,[]
191,Wanted,Hunter Hayes,0f1svjHSiaCJif6noKKVHa,2011,['country']
192,Downtown,Lady Antebellum,4kY7rYtE4OQkJNq22OIYRI,2013-01-01,"['country', 'pop country']"
193,Get Your Shine On,Florida Georgia Line,29RpsWwBrDKyGIL5GRqzl7,2012-01-01,"['country', 'pop country', 'acoustic country']"
194,#thatPower,will.i.am,01TuObJVd7owWchVRuQbQw,2013-01-01,[]
195,Brave,Sara Bareilles,6Uy6K3KdmUdAfelUp0SeXn,2013-07-16,[]
196,Let Her Go,Passenger,2pUpNOgJBIBCcjyQZQ00qU,2013-11-29,['folk pop']
197,Runnin' Outta Moonlight,Randy Houser,4vlJejZrcujj0nSCqIBeWn,2013-01-22,"['country', 'acoustic country']"
198,I'm Different,2 Chainz,1odwi1SN3pJKENZe12U2OQ,2012-01-01,"['southern hip hop', 'rap']"
199,Still Into You,Paramore,1yjY7rpaAQvKwpdUliHx0d,2013-04-05,"['pop punk', 'emo', 'emo pop']"
200,Happy,Pharrell Williams,60nZcImufyMA1MKQY3dcCH,2014-03-03,[]
