spt_id,cv_fold,is_bb,p_audio
1PSBzsahR2AKwLJgx8ehBj,1,1,0.7323943376541138
6R1ArLLvqPvS3AHg9YgmrQ,0,0,0.6315789222717285
5tz69p7tJuGPeMGwNTxYuV,4,1,0.5277777910232544
6EDO9iiTtwNv6waLwa1UUq,1,1,0.8275862336158752
0heNuib4Sav7wTa7WgpQ49,2,0,0.1818181872367859
56IU0nuwzC9IKvVuOy1seD,3,0,0.43939393758773804
1F1qLs8bVuxjI5kE8xOazm,2,0,0.1818181872367859
40YcuQysJ0KlGQTeGUosTC,3,1,0.7450980544090271
0lYBSQXN6rCTvUZvg9S0lU,2,1,0.6571428775787354
2GGMabyHXnJmjY6CXhhB2e,4,1,0.6904761791229248
60ynsPSSKe6O3sfwRnIBRf,0,1,0.6315789222717285
6DEaND0SHv3sC11xobZLiy,0,1,0.6315789222717285
3OzCF9i6Ey7EkkAYJztmKp,1,1,0.7323943376541138
3j84U36KvLeXNDPv4t5pI8,3,1,0.5
09IStsImFySgyp0pIQdqAc,0,1,0.8333333134651184
0Y1MWB026LYxGvhq4EcMiC,3,1,0.38461539149284363
07kMiv6UkKywlCVimdpxUx,4,0,0.0714285746216774
5a7NdkF09AfD0H607eiOkX,1,1,0.7323943376541138
0UAB340gAcSMk3r0a8PTag,2,0,0.5
5S9lfZu1YF8xKkgSsqL2Bd,3,1,0.38461539149284363
4iQFfCO7ATDe8JizP5QKIM,2,0,0.0
2ekn2ttSfGqwhhate0LSR0,4,1,0.6904761791229248
7qCAVkHWZkF44OzOUKf8Cr,4,1,0.6904761791229248
1rUQmXEy41tXwHIKFECNTa,1,1,0.7323943376541138
0U3U2BbtXbgPscRIaGWLtJ,4,0,0.0
6pw1Wu2oPMWzn4oJ4Ppopu,0,0,0.6530612111091614
5VgYeY1uWRuHRPIt0uz4iA,1,0,0.7323943376541138
37jTPJgwCCmIGMPB45jrPV,3,1,0.43939393758773804
2PnOCPd9oZhbLGSzzFf8Ba,2,0,0.0
0WbMK4wrZ1wFSty9F7FCgu,1,1,0.7323943376541138
3rmo8F54jFF8OgYsqTxm5d,0,1,0.6315789222717285
0am001WwFBVGDGLwRh3ixi,2,1,0.7777777910232544
6K7tbjweliRGJ2rMT7Aesy,2,0,0.6499999761581421
1rfofaqEpACxVEHIZBJe6W,1,1,0.8275862336158752
3NSmC1EQKOdUe6KhMrDDk5,4,0,0.6744186282157898
1WkMMavIMc4JZ8cfMmxHkI,1,1,0.7323943376541138
6dOtVTDdiauQNBQEDOtlAB,4,1,0.0714285746216774
4qQwGRtGT7l6ckQtdPEFd4,0,1,0.6530612111091614
3cXEhlI2PKHEjDt39I2upA,4,0,0.6744186282157898
2phNY2bHpAbROCrpAZw2R2,3,0,0.7450980544090271
0ltWabjFKp4e1qqS93DI2n,3,0,0.43939393758773804
6qzJH7vax8R2ywupGjViy2,1,0,0.11764705926179886
6J5sxraPPZ4b0CVOGAgpXj,0,1,1.0
4l0Mvzj72xxOpRrp6h8nHi,4,1,0.3499999940395355
6CThut6kPrjot0pTJOTEer,2,1,0.2666666805744171
1V3WzyG1pYRlWHtbT5XYH6,4,0,0.5277777910232544
6vnToAh7RIRYU4XMM2Wir4,1,0,0.5
0QY5rPPBmMZMBVvmDckQhx,4,0,0.3076923191547394
1PHXS9pkvHwUbRPnA5XyHn,4,0,0.3076923191547394
3DarAbFujv6eYNliUTyqtz,0,1,0.8333333134651184
0AS63m1wHv9n4VVRizK6Hc,1,1,0.7323943376541138
45XhKYRRkyeqoW3teSOkCM,1,1,0.7323943376541138
4cktbXiXOapiLBMprHFErI,3,1,0.8333333134651184
4ptlAXjTGJgjrxGQ7EGn4W,4,0,0.6153846383094788
6KeD9SvXkjmbgKxOT2dy3K,2,0,0.1818181872367859
3CRDbSIZ4r5MsZ0YwxuEkn,3,1,0.7450980544090271
6OhoxQCOlfQaeEyYQ9vHfA,0,0,0.5254237055778503
1h46YgHBuJqwJ50efAN4yT,3,0,0.38461539149284363
58q2HKrzhC3ozto2nDdN4z,0,1,0.6530612111091614
78Du4CMFgnhdlG33gblkiP,0,1,0.5254237055778503
1ms5tNNdPouTtcD2oVF9Oz,0,1,0.8333333134651184
3Ws514Z32R5RStEknopqFP,4,0,0.6744186282157898
0FDzzruyVECATHXKHFs9eJ,3,1,0.43939393758773804
1McB83bDNHKktZYh6GSSSy,1,0,0.5
67g3peWMWu7Vbq7aZNe1Ts,0,0,0.8333333134651184
7COfe3P7KgfwDwIRB8LIDw,3,1,0.43939393758773804
