spt_id,cv_fold,is_bb,p_lyric
2KYRuoSR708PWRDaj2SZaa,4,0,0.31457269592051573
1gtujMFECzLtqLO7WdN1s5,4,0,0.574736244113845
2uvkKq5fVKoI8AMUyB7Lt8,0,0,0.22182227613201985
1p80LdxRV74UKvL8gnD7ky,4,1,0.7235069818644835
3Vo4wInECJQuz9BIBMOu8i,2,1,0.8988095238095237
1eUvaf8Z4P2kU6flnFIzzD,1,0,0.35170209582962036
4e6ZN0EcEqYx74BTC5xQzy,4,1,0.5552664759077163
7oGZAicScQt96OAW4AruYy,4,1,0.6141752311139551
79R3qLqdbwUSYWX4cEOpbJ,0,0,0.6694585524263476
7c1Gt8oLIsVgKHnekswmw2,4,0,0.31305419026010695
05SBRd4fXgn8FX7bf8BCAE,0,1,0.33047020733825744
1eQZUmC4ZBYHvOOyl1JkN5,1,0,0.6183312572805059
0hL8yBivUahlm1rhQ1a0Xx,4,0,0.7582909735138226
21QQ5b9PP7GnWl2GI98kjD,0,0,0.28270571399946914
0bILU0UiNDmA5Ff6whhb2R,4,1,0.414792920008777
2ig2xQfH9n76wdgAipnD5i,1,0,0.7535274544704498
5QYATXoAhM9FsBv9ZdbQ4i,2,0,0.24682539682539684
2aQwdBWk4vSPWk1Csgtzdo,0,0,0.4629490520581889
6LoQHIo74tOzQ8EsLEkhgF,4,1,0.5572928158914053
25CA8QVJQrh5R05UUCaODM,2,1,0.618566992014197
4V8UAYs096q62PGVQuudbw,1,0,0.469727132617459
3ON6Y6KAlNjOyj4wEquCRz,4,0,0.7925042159665682
4XNrMwGx1SqP01sqkGTDmo,3,1,0.7545469766551856
32XaqPVTVkkuOiOPQZ3SpA,3,0,0.4678343862392827
5g3h8gCrJwDABVoDZl69yt,2,0,0.07539682539682539
6uHcXmNcm6qU1h5yVKTY58,2,0,0.7858287545787546
1KxwZYyzWNyZSRyErj2ojT,1,1,0.4772152991429095
1WbYFNSUNn9fP1x0Z5DU95,2,0,0.6719411540840112
1TwLKNsCnhi1HxbIi4bAW0,0,1,0.7153322702601393
6Uy6K3KdmUdAfelUp0SeXn,4,1,0.3031080717153118
4kZlcEXnP90soPZLc85aBK,0,0,0.6829015483567309
07KXEDMj78x68D884wgVEm,3,1,0.9000452284034374
3LlAyCYU26dvFZBDUIMb7a,3,1,0.23953217650696643
24LS4lQShWyixJ0ZrJXfJ5,0,1,0.33326866990084936
6I3mqTwhRpn34SLVafSH7G,4,1,0.39083376549057314
65cv0OI9HmwR4EmN6CWucM,2,0,0.43990929705215415
1tyfx8Ia1nTgpujgKFugss,2,0,0.1111111111111111
5e1F4YZGMOWg8ROXZyJfAA,1,0,0.24861210083894755
3FBisbTYZcpmPPAjnXE7w9,1,0,0.48659297062162904
75lo8VozcCLRG9WGG674iD,4,1,0.7670457474978652
4jL6WWKFDqCOPo2hC3VhSS,2,1,0.4537981859410431
1BllALFzMck8VAezqbpoKV,3,0,0.1925133689839572
0Dsga1306uOFIDpEoIUsCq,0,0,0.7224836132175289
0dIoGTQXDh1wVnhIiSyYEa,4,1,0.559276686624029
71QRhIccCmaxuDInqIO5xq,4,0,0.2684365716926504
16wAOAZ2OkqoIDN7TpChjR,4,1,0.6262166707237952
2QsgqAZ4SwuipP30znNeof,3,0,0.03333333333333333
2z1LgCApxLsaB5SNgJTGzX,4,0,0.10532909153857228
3d32X1JXSXTH32lyK20SkS,0,0,0.11465698222462184
1XRgIKC5TPwo7nWGyKqgG0,4,1,0.7823031538113221
6FB3v4YcR57y4tXFcdxI1E,4,1,0.3854150337168956
3zHq9ouUJQFQRf3cm1rRLu,1,1,0.7218873043674806
3oiMJQAWVaxSubJ7b2VUtX,1,1,0.7785607206279378
6315XlIxnHKvQGA4zpusuV,1,0,0.2832004168044262
7jP7iCJ1cXVXYHWIkYtP6d,1,0,0.6395402148983597
0iWFz0Q5Qha9bx325ocFWq,4,0,0.6729184339699966
65y06cXpmPD1N9NLhy1Akj,4,0,0.17672450909639126
6Swa2wkTqv5AzmeptAdn4d,2,0,0.44830246913580246
0PuUfJ1DgkMCJOeubtz8AA,0,0,0.45621877639445474
35ovElsgyAtQwYPYnZJECg,0,1,0.17750196772159743
2QjOHCTQ1Jl3zawyYOpxh6,2,1,0.4129830917874396
78OdP5DHibfC0n3W9mGxY1,1,0,0.5117958327543866
0TBgMKD86t1VP3IzhxCoUl,3,1,0.7207427536231883
6aSwH4whSmRnIZGwjXZS4C,4,0,0.732333780912501
4Xx0J00u90QvnG3rwz4Itp,3,0,0.6357965170640486
5Oa4jjIe7d4tGsXevIQdrK,0,0,0.6925762609778202
1DbZAffh8GGwW41Q3AU8iC,0,1,0.3899701819074855
6I6JOi3mf6q68dE7JxzYUC,0,0,0.28399521002779665
6JjPBQfI2Y8nIjnm65X6Pw,2,1,0.7222658294086864
4bsVr6YLbGDzERo8yVCJue,3,0,0.06862745098039215
0PvFJmanyNQMseIFrU708S,3,1,0.6705367096671445
5MwIGPDKeDb7SpblcaQP6O,0,1,0.2210203077912818
3vuRYeE3ZV3FbwH6FwgaxJ,1,0,0.8332731823747398
7K5dzhGda2vRTaAWYI3hrb,3,1,0.6585899166986083
4W9XGjEUVG9junR70FOLii,0,0,0.5426645740399526
6n4U3TlzUGhdSFbUUhTvLP,3,1,0.7545469766551856
4l0RmWt52FxpVxMNni6i63,0,1,0.6925890043480396
7MS7rMHWqV5FY0Z7hhpZJh,1,0,0.2542813348454627
2hrUO4drrO63i7FYbCLBl2,2,1,0.626010101010101
3eQlGeyuSibgAGPEJugaDW,0,1,0.7904293301135928
6t6oULCRS6hnI7rm0h5gwl,0,1,0.4226439624439387
6c6WmIHcHlhccEwSFBhzNa,3,1,0.5380738233704708
4qikXelSRKvoCqFcHLB2H2,1,1,0.651438133397621
7vjfnsnDXZGK4PSq54ISjc,2,0,0.8705357142857143
4xhsWYTOGcal8zt0J161CU,1,1,0.8197298127114293
1PSBzsahR2AKwLJgx8ehBj,1,1,0.7632485178912257
6R1ArLLvqPvS3AHg9YgmrQ,0,0,0.3189848165302162
5tz69p7tJuGPeMGwNTxYuV,4,1,0.4753038794102737
6EDO9iiTtwNv6waLwa1UUq,1,1,0.6917999014489645
0heNuib4Sav7wTa7WgpQ49,2,0,0.4407608695652174
56IU0nuwzC9IKvVuOy1seD,3,0,0.4162464985994397
1F1qLs8bVuxjI5kE8xOazm,2,0,0.4407608695652174
40YcuQysJ0KlGQTeGUosTC,3,1,0.6878985401176041
0lYBSQXN6rCTvUZvg9S0lU,2,1,0.7784268814713778
2GGMabyHXnJmjY6CXhhB2e,4,1,0.8212498653796997
60ynsPSSKe6O3sfwRnIBRf,0,1,0.6429825831609145
6DEaND0SHv3sC11xobZLiy,0,1,0.450924786822414
3OzCF9i6Ey7EkkAYJztmKp,1,1,0.6222029926320131
3j84U36KvLeXNDPv4t5pI8,3,1,0.850869664688699
09IStsImFySgyp0pIQdqAc,0,1,0.6771353499667646
0Y1MWB026LYxGvhq4EcMiC,3,1,0.4485697309226721
07kMiv6UkKywlCVimdpxUx,4,0,0.5820226031540707
5a7NdkF09AfD0H607eiOkX,1,1,0.652424154499866
0UAB340gAcSMk3r0a8PTag,2,0,0.5467132505175983
5S9lfZu1YF8xKkgSsqL2Bd,3,1,0.7207427536231883
4iQFfCO7ATDe8JizP5QKIM,2,0,0.0
2ekn2ttSfGqwhhate0LSR0,4,1,0.7464624716608602
7qCAVkHWZkF44OzOUKf8Cr,4,1,0.6113066560470124
1rUQmXEy41tXwHIKFECNTa,1,1,0.24680655392834883
0U3U2BbtXbgPscRIaGWLtJ,4,0,0.2993946762453482
6pw1Wu2oPMWzn4oJ4Ppopu,0,0,0.6205473626324961
5VgYeY1uWRuHRPIt0uz4iA,1,0,0.08390677161401612
37jTPJgwCCmIGMPB45jrPV,3,1,0.7149636433218522
2PnOCPd9oZhbLGSzzFf8Ba,2,0,0.12786596119929453
0WbMK4wrZ1wFSty9F7FCgu,1,1,0.5270772906591765
3rmo8F54jFF8OgYsqTxm5d,0,1,0.43153826984938276
0am001WwFBVGDGLwRh3ixi,2,1,0.618566992014197
6K7tbjweliRGJ2rMT7Aesy,2,0,0.6755952380952381
1rfofaqEpACxVEHIZBJe6W,1,1,0.8669967353447311
3NSmC1EQKOdUe6KhMrDDk5,4,0,0.7186437722028948
1WkMMavIMc4JZ8cfMmxHkI,1,1,0.5960687310447443
6dOtVTDdiauQNBQEDOtlAB,4,1,0.5097313678135633
4qQwGRtGT7l6ckQtdPEFd4,0,1,0.6597933918971557
3cXEhlI2PKHEjDt39I2upA,4,0,0.34660511130916277
2phNY2bHpAbROCrpAZw2R2,3,0,0.787690916049125
0ltWabjFKp4e1qqS93DI2n,3,0,0.6373572120771164
6qzJH7vax8R2ywupGjViy2,1,0,0.7164238240953775
6J5sxraPPZ4b0CVOGAgpXj,0,1,0.6767942527970569
4l0Mvzj72xxOpRrp6h8nHi,4,1,0.4667957252348531
6CThut6kPrjot0pTJOTEer,2,1,0.5494107744107745
1V3WzyG1pYRlWHtbT5XYH6,4,0,0.8147610254530436
6vnToAh7RIRYU4XMM2Wir4,1,0,0.3909952479189868
0QY5rPPBmMZMBVvmDckQhx,4,0,0.7928415910170997
1PHXS9pkvHwUbRPnA5XyHn,4,0,0.30096312398306885
3DarAbFujv6eYNliUTyqtz,0,1,0.8063489076005056
0AS63m1wHv9n4VVRizK6Hc,1,1,0.5540320578025338
45XhKYRRkyeqoW3teSOkCM,1,1,0.8130249970837625
4cktbXiXOapiLBMprHFErI,3,1,0.6285364160539476
4ptlAXjTGJgjrxGQ7EGn4W,4,0,0.657143132097496
6KeD9SvXkjmbgKxOT2dy3K,2,0,0.19135802469135801
3CRDbSIZ4r5MsZ0YwxuEkn,3,1,0.31324654656472384
6OhoxQCOlfQaeEyYQ9vHfA,0,0,0.256638970063419
