name_lower,artist_lower,spt_id,release_year,billboard_year,is_bb
fourfiveseconds,rihanna & kanye west & paul mccartney,78TTtXnFQPzwqlbtbwqN0y,2015,2015,1
centuries,fall out boy,04aAxqtGp5pv12UXAg4pkq,2015,2015,1
my way,fetty wap,1WoOzgvz6CgH4pX6a1RKGp,2015,2015,1
take your time,sam hunt,6DEaND0SHv3sC11xobZLiy,2014,2015,1
i don't fuck with you,big sean,7FYH5AW3bVfZHJIQpq3UOA,2015,2015,1
bitch better have my money,rihanna,0NTMtAO2BV4tnGvw9EgBVq,2015,2015,1
"flex (ooh, ooh, ooh)",rich homie quan,4T0ScSPdQKmGvruK7pavNP,2015,2015,1
nasty freestyle,t-wayne,0PT7nlpo11hYYyfnBgtilT,2015,2015,1
only,nicki minaj,4MRT0dDbhqFKl67WzhUbSw,2014,2015,1
elastic heart,sia,5S9lfZu1YF8xKkgSsqL2Bd,2015,2015,1
cool for the summer,demi lovato,3uwnnTQcHM1rDqSfA4gQNz,2015,2015,1
renegades,x ambassadors,0fYVliAYKHuPmECRs1pbRf,2015,2015,1
i don't mind,usher,7aXuop4Qambx5Oi3ynsKQr,2014,2015,1
love me harder,ariana grande & the weeknd,5J4ZkQpzMUFojo1CtAZYpn,2014,2015,1
wildest dreams,taylor swift,1K39ty6o1sHwwlZwO6a7wK,2023,2015,1
you know you like it,dj snake & alunageorge,57kR5SniQIbsbVoIjjOUDa,2014,2015,1
uma thurman,fall out boy,5PUawWFG1oIS2NwEcyHaCr,2015,2015,1
7/11,beyoncé,02M6vucOvmRfMxTXDUwRXu,2014,2015,1
the heart wants what it wants,selena gomez,6wJwkMo278iWVlWl1XQ4WA,2014,2015,1
