,billboard_year,rank,name,artist,featuring,target
312,2013,13,Stay,Rihanna,Mikky Ekko,1
313,2013,14,Get Lucky,Daft Punk,Pharrell Williams,1
314,2013,15,Royals,Lorde,,1
315,2013,16,I Knew You Were Trouble,Taylor Swift,,1
316,2013,17,We Can't Stop,Miley Cyrus,,1
317,2013,18,Wrecking Ball,Miley Cyrus,,1
318,2013,19,Wake Me Up,Avicii,,1
319,2013,20,Suit & Tie,Justin Timberlake,Jay-Z,1
320,2013,21,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,,1
321,2013,22,Holy Grail,Jay-Z,Justin Timberlake,1
322,2013,23,Scream & Shout,will.i.am,Britney Spears,1
323,2013,24,Clarity,Zedd,Foxes,1
324,2013,25,Sail,Awolnation,,1
325,2013,26,Don't You Worry Child,Swedish House Mafia,John Martin,1
326,2013,27,Diamonds,Rihanna,,1
327,2013,28,I Love It,Icona Pop,Charli XCX,1
328,2013,29,Safe and Sound,Capital Cities,,1
329,2013,30,Treasure,Bruno Mars,,1
330,2013,31,The Way,Ariana Grande,Mac Miller,1
331,2013,32,Started from the Bottom,Drake,,1
332,2013,33,Come & Get It,Selena Gomez,,1
333,2013,34,"Hold On, We're Going Home",Drake,Majid Jordan,1
334,2013,35,Daylight,Maroon 5,,1
335,2013,36,Feel This Moment,Pitbull,Christina Aguilera,1
336,2013,37,Applause,Lady Gaga,,1
337,2013,38,One More Night,Maroon 5,,1
338,2013,39,Love Me,Lil Wayne,Drake,1
339,2013,40,My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy,,1
340,2013,41,Fuckin' Problems,ASAP Rocky,Drake,1
341,2013,42,Beauty and a Beat,Justin Bieber,Nicki Minaj,1
342,2013,43,Same Love,Macklemore & Ryan Lewis,Mary Lambert,1
343,2013,44,Sweet Nothing,Calvin Harris,Florence Welch,1
344,2013,45,Summertime Sadness,Lana Del Rey,,1
345,2013,46,Home,Phillip Phillips,,1
346,2013,47,It's Time,Imagine Dragons,,1
347,2013,48,Power Trip,J. Cole,Miguel,1
348,2013,49,Girl on Fire,Alicia Keys,Nicki Minaj,1
349,2013,50,Heart Attack,Demi Lovato,,1
350,2013,51,Love Somebody,Maroon 5,,1
351,2013,52,I Will Wait,Mumford & Sons,,1
352,2013,53,Try,Pink,,1
353,2013,54,Wagon Wheel,Darius Rucker,,1
354,2013,55,Gangnam Style,Psy,,1
355,2013,56,I Need Your Love,Calvin Harris,Ellie Goulding,1
356,2013,57,Die Young,Kesha,,1
357,2013,58,Some Nights,Fun,,1
358,2013,59,Bad,Wale,Tiara Thomas,1
359,2013,60,Boys 'Round Here,Blake Shelton,Pistol Annies,1
360,2013,61,"Gone, Gone, Gone",Phillip Phillips,,1
361,2013,62,Demons,Imagine Dragons,,1
362,2013,63,Counting Stars,OneRepublic,,1
363,2013,64,I Cry,Flo Rida,,1
364,2013,65,Little Talks,Of Monsters and Men,,1
365,2013,66,The Other Side,Jason Derulo,,1
366,2013,67,Berzerk,Eminem,,1
367,2013,68,Catch My Breath,Kelly Clarkson,,1
368,2013,69,Crash My Party,Luke Bryan,,1
369,2013,70,Pour It Up,Rihanna,,1
370,2013,71,22,Taylor Swift,,1
371,2013,72,I Want Crazy,Hunter Hayes,,1
372,2013,73,The Fox (What Does the Fox Say?),Ylvis,,1
373,2013,74,Best Song Ever,One Direction,,1
374,2013,75,The A Team,Ed Sheeran,,1
375,2013,76,Carry On,Fun,,1
376,2013,77,Highway Don't Care,Tim McGraw,Taylor Swift,1
377,2013,78,That's My Kind of Night,Luke Bryan,,1
378,2013,79,Swimming Pools (Drank),Kendrick Lamar,,1
379,2013,80,Sure Be Cool If You Did,Blake Shelton,,1
380,2013,81,#Beautiful,Mariah Carey,Miguel,1
381,2013,82,Troublemaker,Olly Murs,Flo Rida,1
382,2013,83,Body Party,Ciara,,1
383,2013,84,Adorn,Miguel,,1
384,2013,85,Hall of Fame,The Script,will.i.am,1
385,2013,86,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,,1
386,2013,87,U.O.E.N.O.,Rocko,Future,1
387,2013,88,Next to Me,Emeli Sandé,,1
388,2013,89,Mama's Broken Heart,Miranda Lambert,,1
389,2013,90,It Goes Like This,Thomas Rhett,,1
390,2013,91,Bugatti,Ace Hood,Future,1
391,2013,92,Wanted,Hunter Hayes,,1
392,2013,93,Downtown,Lady Antebellum,,1
393,2013,94,Get Your Shine On,Florida Georgia Line,,1
394,2013,95,#thatPower,will.i.am,Justin Bieber,1
395,2013,96,Brave,Sara Bareilles,,1
396,2013,97,Let Her Go,Passenger,,1
397,2013,98,Runnin' Outta Moonlight,Randy Houser,,1
398,2013,99,I'm Different,2 Chainz,,1
399,2013,100,Still Into You,Paramore,,1
400,2014,1,Happy,Pharrell Williams,,1
401,2014,2,Dark Horse,Katy Perry,Juicy J,1
402,2014,3,All of Me,John Legend,,1
403,2014,4,Fancy,Iggy Azalea,Charli XCX,1
404,2014,5,Counting Stars,OneRepublic,,1
405,2014,6,Talk Dirty,Jason Derulo,2 Chainz,1
406,2014,7,Rude,Magic!,,1
407,2014,8,All About That Bass,Meghan Trainor,,1
